titulo;precio;ano;kilometraje;cilindrada;url;precio_num;cilindrada_cc;km;rango_cc;rango_km
BMW F 850 GS 2024 – Moto Nueva;$11.300.000;2024.0;5000.0;853.0;https://www.chilemotos.com/moto/65908/;11300000.0;853.0;5000.0;501-1000cc;0-10k
Suzuki Vstrom DL 650 2011;$5.500.000;2011.0;102497.0;650.0;https://www.chilemotos.com/moto/65882/;5500000.0;650.0;102497.0;501-1000cc;50k+
Yamaha FZ 150;$1.500.000;2022.0;17000.0;150.0;https://www.chilemotos.com/moto/65846/;1500000.0;150.0;17000.0;0-200cc;10k-30k
Vendo Moto Suzuki RM 85cc – excelente estado – cambio por renovación.;$1.400.000;2017.0;1000.0;85.0;https://www.chilemotos.com/moto/65788/;1400000.0;85.0;1000.0;0-200cc;0-10k
Moto Suzuki GSX;$1.800.000;2021.0;6000.0;150.0;https://www.chilemotos.com/moto/65718/;1800000.0;150.0;6000.0;0-200cc;0-10k
Moto KTM Adventure 390 año 2022;$4.500.000;2022.0;19000.0;390.0;https://www.chilemotos.com/moto/65697/;4500000.0;390.0;19000.0;201-500cc;10k-30k
Triumph Tiger 900 GT como nueva.;$12.500.000;2025.0;4560.0;900.0;https://www.chilemotos.com/moto/65691/;12500000.0;900.0;4560.0;501-1000cc;0-10k
HARLEY DAVIDSON STREET BOB;$21.000.000;2018.0;2749.0;1.9;https://www.chilemotos.com/moto/65683/;21000000.0;1900.0;2749.0;1000cc+;0-10k
Suzuki Vstrom DL650 2011;$4.700.000;2011.0;38000.0;650.0;https://www.chilemotos.com/moto/65583/;4700000.0;650.0;38000.0;501-1000cc;30k-50k
Yamaha R7;$9.300.000;2023.0;6750.0;689.0;https://www.chilemotos.com/moto/65578/;9300000.0;689.0;6750.0;501-1000cc;0-10k
VENDO;$8.899.999;2014.0;23000.0;1.043;https://www.chilemotos.com/moto/65527/;8899999.0;1043.0;23000.0;1000cc+;10k-30k
Moto BMW F800GS Adventure 2016 Liberada;$9.500.000;2016.0;37900.0;800.0;https://www.chilemotos.com/moto/65513/;9500000.0;800.0;37900.0;501-1000cc;30k-50k
BMW F800 GS versión Trophy impecable;$8.590.000;2018.0;33999.0;800.0;https://www.chilemotos.com/moto/65403/;8590000.0;800.0;33999.0;501-1000cc;30k-50k
Vespa 300..un solo uso;$6.700.000;2025.0;50.0;300.0;https://www.chilemotos.com/moto/65361/;6700000.0;300.0;50.0;201-500cc;0-10k
Bmw F750 Gs versión II;$9.500.000;2022.0;24000.0;853.0;https://www.chilemotos.com/moto/65352/;9500000.0;853.0;24000.0;501-1000cc;10k-30k
Cuatrimoto CF625 año 2014 papeles al día;$4.500.000;2014.0;4600.0;600.0;https://www.chilemotos.com/moto/64006/;4500000.0;600.0;4600.0;501-1000cc;0-10k
Yamaha Xmax 300;$4.800.000;2022.0;3600.0;300.0;https://www.chilemotos.com/moto/64021/;4800000.0;300.0;3600.0;201-500cc;0-10k
Honda NAVI óptimas condiciones;$1.200.000;2022.0;9900.0;110.0;https://www.chilemotos.com/moto/64077/;1200000.0;110.0;9900.0;0-200cc;0-10k
NK 400 CF MOTO;$2.900.000;2022.0;19500.0;400.0;https://www.chilemotos.com/moto/64173/;2900000.0;400.0;19500.0;201-500cc;10k-30k
Honda CB500X único dueño;$4.000.000;2017.0;47.0;500.0;https://www.chilemotos.com/moto/64360/;4000000.0;500.0;47.0;201-500cc;0-10k
Venta Suzuki GSX 250 2025 600 kms;$3.750.000;2025.0;610.0;250.0;https://www.chilemotos.com/moto/64390/;3750000.0;250.0;610.0;201-500cc;0-10k
KTM Duke 200 ( 2021 );$1.850.000;2021.0;74000.0;200.0;https://www.chilemotos.com/moto/64402/;1850000.0;200.0;74000.0;0-200cc;50k+
Suzuki GSX 250 2025, 600 kms casi nueva;$3.650.000;2025.0;642.0;250.0;https://www.chilemotos.com/moto/64416/;3650000.0;250.0;642.0;201-500cc;0-10k
Vendo Ktm 1290 R;$16.500;2022.0;34000.0;1.301;https://www.chilemotos.com/moto/64466/;16500000.0;1301.0;34000.0;1000cc+;30k-50k
Vendo Ktm 1290 R Super Adventur $16.500.000 Año 2022 35.XXX Km Cambio de aceite cada 7500 Km Mantención 30.000 Km recién realizada AlexMaster Transmision nueva Quickshifter Varios extras.;$16.500.000;2022.0;35.0;1.301;https://www.chilemotos.com/moto/64469/;16500000.0;1301.0;35.0;1000cc+;0-10k
Venta Moto BMW F900r;$8.000.020;2021.0;15.0;896.0;https://www.chilemotos.com/moto/64518/;8000020.0;896.0;15.0;501-1000cc;0-10k
Moto con sidecar;$13.490.000;2024.0;16000.0;700.0;https://www.chilemotos.com/moto/64613/;13490000.0;700.0;16000.0;501-1000cc;10k-30k
Motocicleta Honda XRE 300;$3.899.999;2023.0;9550.0;291.0;https://www.chilemotos.com/moto/64656/;3899999.0;291.0;9550.0;201-500cc;0-10k
Yamaha nmax conect;$2.700.000;2022.0;2200.0;155.0;https://www.chilemotos.com/moto/64668/;2700000.0;155.0;2200.0;0-200cc;0-10k
Impecable de lujo;$2.850.000;2023.0;18000.0;250.0;https://www.chilemotos.com/moto/64739/;2850000.0;250.0;18000.0;201-500cc;10k-30k
Oportunidad , excelente estado;$2.850.000;2023.0;18000.0;250.0;https://www.chilemotos.com/moto/64741/;2850000.0;250.0;18000.0;201-500cc;10k-30k
BMW F800GS 2016 Impecable Precio conversable;$8.000.000;2016.0;57.0;800.0;https://www.chilemotos.com/moto/64830/;8000000.0;800.0;57.0;501-1000cc;0-10k
EUROMOT KD 150CC;$1.200.000;2025.0;2200.0;150.0;https://www.chilemotos.com/moto/64938/;1200000.0;150.0;2200.0;0-200cc;0-10k
vendo moto Triumph Trident;$6.000.000;2022.0;25500.0;660.0;https://www.chilemotos.com/moto/65018/;6000000.0;660.0;25500.0;501-1000cc;10k-30k
TVS APACHE 200FI AÑO 2023;$1.600.000;2023.0;21279.0;200.0;https://www.chilemotos.com/moto/65038/;1600000.0;200.0;21279.0;0-200cc;10k-30k
Ktm Duke 250;$2.750.000;2021.0;18000.0;250.0;https://www.chilemotos.com/moto/65141/;2750000.0;250.0;18000.0;201-500cc;10k-30k
Ktm duke 250 2021;$2.600.000;2021.0;18000.0;250.0;https://www.chilemotos.com/moto/65144/;2600000.0;250.0;18000.0;201-500cc;10k-30k
Se vende por cambio de cilindrada;$3.500.000;2021.0;11000.0;310.0;https://www.chilemotos.com/moto/65161/;3500000.0;310.0;11000.0;201-500cc;10k-30k
Keeway 302c;$4.000.000;2024.0;1956.0;300.0;https://www.chilemotos.com/moto/65191/;4000000.0;300.0;1956.0;201-500cc;0-10k
Ktm Duke 250 año 2021;$2.600.000;2021.0;18000.0;250.0;https://www.chilemotos.com/moto/65147/;2600000.0;250.0;18000.0;201-500cc;10k-30k
Se vende por apuro, papeles y mantenciones al día en la marca;$4.500.000;2021.0;36000.0;300.0;https://www.chilemotos.com/moto/65125/;4500000.0;300.0;36000.0;201-500cc;30k-50k
Moto yamaha R3 nueva;$5.800.000;2025.0;17.0;321.0;https://www.chilemotos.com/moto/65103/;5800000.0;321.0;17.0;201-500cc;0-10k
Mi amada moto fantástica;$5.800.000;2001.0;50.0;535.0;https://www.chilemotos.com/moto/65089/;5800000.0;535.0;50.0;501-1000cc;0-10k
voge 500 dsx;$4.100.000;2023.0;14600.0;499.0;https://www.chilemotos.com/moto/65024/;4100000.0;499.0;14600.0;201-500cc;10k-30k
Yamaha nmax connect;$2.650.000;2022.0;2200.0;155.0;https://www.chilemotos.com/moto/65009/;2650000.0;155.0;2200.0;0-200cc;0-10k
Se vende honda navi al dia, como nueva;$1.100.000;2022.0;2500.0;125.0;https://www.chilemotos.com/moto/65002/;1100000.0;125.0;2500.0;0-200cc;0-10k
