titulo;precio;ano;kilometraje;cilindrada;url
Gsx-r 150;$1.950.000;2022;60000;150;https://www.chilemotos.com/moto/62765/
MOTO BMW G 310 Gs 2022;$5.000.000;2022;769;310;https://www.chilemotos.com/moto/62750/
Moto Aprilia Shiver;$4.800.000;2014;19500;750;https://www.chilemotos.com/moto/62703/
Vendo Dominar 400 adventure;$3.400.000;2024;7000;400;https://www.chilemotos.com/moto/62686/
vendo Cb1000r;$8.500.000;2022;37129;998;https://www.chilemotos.com/moto/62535/
VENDO MOTO KTM 500;$3.100.000;2014;100;500;https://www.chilemotos.com/moto/62530/
Moto Germania Paine 125cc;$1.250.000;2022;5349;124;https://www.chilemotos.com/moto/62522/
Benelli Leoncino 250 – Año 2021;$2.900.000;2021;4225;250;https://www.chilemotos.com/moto/62504/
Yamaha fz 2016;$350.000;2016;144000;150;https://www.chilemotos.com/moto/62489/
Pulsar ns200 2014 a la venta;$1.000.000;2014;13340;200;https://www.chilemotos.com/moto/62488/
Voge 650 dsx;$4.650;2023;4000;650;https://www.chilemotos.com/moto/62449/
Por traslado Vendo mi Confiable Honda Cb250 Twister;$2.700.000;2023;16500;249;https://www.chilemotos.com/moto/62437/
Moto Harley Davidson excelente estado;$6.300.000;2006;100000;1.449;https://www.chilemotos.com/moto/62393/
Vendo Yamaha R6;$8.500.000;2015;44000;600;https://www.chilemotos.com/moto/62376/
moto Honda Nc750 x;$7.900.000;2024;1200;750;https://www.chilemotos.com/moto/62350/
Vendo moto;$1.290.000;2023;176;150;https://www.chilemotos.com/moto/62351/
Se vende por renovación;$4.500.000;2017;47232;500;https://www.chilemotos.com/moto/62334/
2019 Harley-Davidson Road King;$6.800.000;2019;20460;1.750;https://www.chilemotos.com/moto/62317/
TVS 310 Apache;$3.300.000;2023;2000;310;https://www.chilemotos.com/moto/62300/
KTM duke 200 (2023);$2.000.000;2023;4092;200;https://www.chilemotos.com/moto/62270/
Vendo moto marca keeway modificada tipo custom;$1.600.000;2012;22;200;https://www.chilemotos.com/moto/62248/
2019 BMW R-Series;$5.599.999;2019;1283;1.250;https://www.chilemotos.com/moto/62214/
2018 Kawasaki Vulcan 1700;$3.500.000;2018;663;1.700;https://www.chilemotos.com/moto/62210/
Moto excelentes condiciones;$1.900.000;2023;9000;153;https://www.chilemotos.com/moto/62174/
BMW R310 casi NUEVA 23’ y 203km;$4.499.000;2023;203;310;https://www.chilemotos.com/moto/62119/
HUSQVARNA SVARPILEN 250CC;$2.490.000;2022;11500;249;https://www.chilemotos.com/moto/61990/
Excelente estado, único dueño;$3.100.000;2018;55600;500;https://www.chilemotos.com/moto/61937/
Euromot Vintage Cafe 150 después de un choque;$500.000;2022;5000;150;https://www.chilemotos.com/moto/61914/
Venta moto;$3.500.000;2025;50;300;https://www.chilemotos.com/moto/61845/
BMW G310R;$3.800.000;2021;10100;313;https://www.chilemotos.com/moto/61814/
MOTO BMW F750 GS II;$9.850.000;2021;14500;853;https://www.chilemotos.com/moto/61795/
Royal Enfield Meteor 350 con Chaqueta, 2 casos y protecciones;$3.000.000;2023;12000;350;https://www.chilemotos.com/moto/61696/
KTM 390 ADVENTURE;$3.700.000;2020;31969;400;https://www.chilemotos.com/moto/61689/
Royal Enfield continental GT 650 2019;$3.800.000;2019;6500;650;https://www.chilemotos.com/moto/61671/
Vendo mi moto!!!;$2.700.000;2024;1775;250;https://www.chilemotos.com/moto/61632/
Se vende Moto Yamaha FZX 150 Cc;$2.200.000;2024;7687;150;https://www.chilemotos.com/moto/61557/
